id,cost,LB,f_hat,num_coll,cost-to-go,h_hat,parent
132778325438976,3170,3214,3198.839285266247,95,184,28.839285266246815,132778324898752
132778322551104,3170,3222,3197.736841677045,93,184,27.73684167704525,132778325438976
132778321749184,3171,3216,3197.5084741763976,92,183,26.508474176397584,132778322551104
132778324394240,3171,3232,3197.5084741719047,92,183,26.508474171904624,132778321749184
132778324577280,3200,3241,3226.2203385786356,91,154,26.220338578635452,132778324394240
132778320681984,3200,3241,3225.932202985464,90,154,25.93220298546395,132778324577280
132778320833472,3202,3241,3227.216666275808,89,152,25.21666627580834,132778320681984
132778322161088,3202,3243,3229.4098356431928,88,152,27.409835643192697,132778320833472
132778322946176,3202,3249,3228.3548383058533,86,152,26.354838305853285,132778322161088
132778324053056,3202,3254,3227.5312496170313,86,152,25.53124961703125,132778322946176
132778323519808,3202,3258,3227.2343746175416,85,152,25.23437461754151,132778324053056
132778322356416,3202,3252,3226.84615347155,85,152,24.8461534715503,132778323519808
132778323550144,3225,3264,3249.2615380920165,83,129,24.261538092016572,132778322356416
132778321074176,3225,3264,3249.9374996103516,84,129,24.937499610351566,132778323550144
132778320598720,3225,3264,3250.0317456304433,83,129,25.03174563044344,132778321074176
132778321568128,3225,3264,3249.046874616753,81,129,24.046874616752937,132778320598720
132778323705728,3225,3268,3248.0303026708907,80,129,23.030302670890734,132778321568128
132778321479104,3225,3269,3247.6865668120295,80,129,22.68656681202941,132778323705728
132778323001280,3225,3271,3247.402984723535,79,129,22.402984723535315,132778321479104
132778321446272,3225,3269,3246.794117307327,78,129,21.794117307326992,132778323001280
132778321589696,3225,3270,3246.2028982219263,77,129,21.20289822192607,132778321446272
132778323214528,3225,3270,3245.628571110302,76,129,20.628571110302044,132778321589696
132778326841536,3225,3270,3245.070422227088,75,129,20.070422227087885,132778323214528
132778320643712,3249,3290,3268.5277774794367,74,105,19.527777479436732,132778326841536
132778316618944,3249,3290,3268.263888591904,73,105,19.263888591903935,132778320643712
132778319258816,3249,3290,3267.739725739884,72,105,18.73972573988366,132778316618944
132778317972800,3249,3290,3267.4864862041927,72,105,18.486486204192843,132778319258816
132778319803584,3249,3284,3267.486486201695,72,105,18.486486201694667,132778317972800
132778321873024,3249,3267,3267.2297294464297,71,105,18.229729446429875,132778319803584
132778320328640,3249,3268,3266.9866663884727,71,105,17.986666388472894,132778321873024
132778317731584,3249,3270,3266.986666386075,71,105,17.98666638607467,132778320328640
132778320466624,3249,3270,3266.733333054329,70,105,17.733333054328888,132778317731584
132778319201472,3249,3282,3266.499999725987,70,105,17.499999725986846,132778320466624
132778323363264,3249,3282,3266.249999727632,69,105,17.249999727631582,132778319201472
132778319174144,3249,3282,3266.025973758423,69,105,17.02597375842301,132778323363264
132778319103232,3249,3288,3265.7792205133683,68,105,16.779220513368195,132778319174144
132778319515392,3256,3291,3272.0769228234026,66,98,16.07692282340237,132778319103232
132778318466112,3256,3299,3273.278480741452,65,98,17.278480741451695,132778319515392
132778317378176,3256,3306,3272.7999997375,64,98,16.799999737500002,132778318466112
132778316489984,3256,3294,3272.3333330792593,63,98,16.333333079259265,132778317378176
132778318866816,3257,3294,3273.134146091581,63,97,16.13414609158091,132778316489984
132778317520768,3257,3294,3273.9024387605473,63,97,16.902438760547298,132778318866816
132778316605504,3257,3294,3273.63414607978,62,97,16.634146079779896,132778317520768
132778316910400,3257,3304,3273.168674445551,61,97,16.168674445550884,132778316605504
132778316752768,3257,3304,3272.714285469218,60,97,15.714285469217693,132778316910400
132778317172672,3257,3306,3272.270587998151,59,97,15.270587998150866,132778316752768
132778315558528,3261,3307,3275.8372090728662,58,93,14.837209072866415,132778317172672
132778315428288,3261,3307,3275.837209071141,58,93,14.837209071141157,132778315558528
